web-scraper-order,web-scraper-start-url,link,link-href,Name,Price,Image
"1553486684-1476","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh quy Marine Boy vị rong biển tuyết xanh hộp 32g","13.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486693-1511","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Đồ ăn vặt","https://www.adayroi.com/do-an-vat-c707","Snack khoai tây Lay's Stax vị tự nhiên lon 110g","23.500đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486744-1704","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm khô","https://www.adayroi.com/thuc-pham-kho-c670","Thức uống yến mạch Quaker 3in1 - Vị Chocolate túi 420g","46.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486684-1467","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Bánh","https://www.adayroi.com/banh-c697","Bánh kem xốp hương cốm Kexo Hữu Nghị gói 145g","11.700đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486744-1705","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm khô","https://www.adayroi.com/thuc-pham-kho-c670","Ngũ cốc dinh dưỡng Mueslix Orchard Beauty Kellogg's hộp 45g","15.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486702-1557","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thức uống","https://www.adayroi.com/thuc-uong-c713","Nước giải khát hương cam Fanta lon 330ml","7.100đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486693-1501","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Đồ ăn vặt","https://www.adayroi.com/do-an-vat-c707","Snack khoai tây Poca vị tảo biển Nori gói 52g","8.700đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486768-1780","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Gia vị","https://www.adayroi.com/gia-vi-c676","Bột canh Vifon gói 200g","4.800đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486744-1688","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm khô","https://www.adayroi.com/thuc-pham-kho-c670","Gạo thơm Việt Đài VinEco túi 5kg","119.000đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
"1553486736-1672","https://www.adayroi.com/thuc-pham-c591?itm_source=Menu_TP_CATE1_HTD&itm_medium=PC&itm_campaign=ThucPham","Thực phẩm ăn liền","https://www.adayroi.com/thuc-pham-an-lien-c671","Cháo yến thịt bằm Yến Việt gói 50g","8.700đ","https://css-ak.static-adayroi.com/_ui/responsive/theme-alpha/images/logo-adayroi.svg"
