web-scraper-order,web-scraper-start-url,Category
"1550433059-54","https://www.bachhoaxanh.com/nuoc-cham-gia-vi-khac","Bơ"
"1550433059-53","https://www.bachhoaxanh.com/nuoc-cham-gia-vi-khac","Dầu hào"
"1550433059-58","https://www.bachhoaxanh.com/nuoc-cham-gia-vi-khac","Giấm"
"1550433059-56","https://www.bachhoaxanh.com/nuoc-cham-gia-vi-khac","Mắm các loại"
"1550433059-55","https://www.bachhoaxanh.com/nuoc-cham-gia-vi-khac","Tương chao"
"1550433059-59","https://www.bachhoaxanh.com/nuoc-cham-gia-vi-khac","Mù tạt"
"1550433059-60","https://www.bachhoaxanh.com/nuoc-cham-gia-vi-khac","Muối ớt/tiêu"
"1550433059-61","https://www.bachhoaxanh.com/nuoc-cham-gia-vi-khac","Sa tế"
"1550433059-57","https://www.bachhoaxanh.com/nuoc-cham-gia-vi-khac","Gia vị tẩm, ướp"
"1550433059-62","https://www.bachhoaxanh.com/nuoc-cham-gia-vi-khac","Sốt Mayonnaise"
"1550433059-63","https://www.bachhoaxanh.com/nuoc-cham-gia-vi-khac","Tiêu"
