web-scraper-order,web-scraper-start-url,Name,Address
"1553487465-2042","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Vũng Tàu","36 Nguyễn Thái Học, P.7, TP.Vũng Tàu"
"1553487465-2037","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Phước Đông","Khu công nghiệp Phước Đông, Xã Phước Đông, Huyện Gò Dầu, Tỉnh Tây Ninh"
"1553487465-2038","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Tân Châu","Đường Lê Duẩn, Khu phố 2, Thị trấn Tân Châu, Huyện Tân Châu, Tỉnh Tây Ninh"
"1553487465-2027","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Tây Nguyên (7 siêu thị)",""
"1553487465-2028","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Thành phố Hồ Chí Minh (35 siêu thị)",""
"1553487465-2032","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Bình Dương 2","Trung tâm Thương Mại Bình Dương Square - Số 1 Phú Lợi, P. Phú Hòa, TP. Thủ Dầu Một, Tỉnh Bình Dương"
"1553487465-2034","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Đồng Phú","Đường CMT8 - ĐT.741, khu phố Tân An, thị trấn Tân Phú, huyện Đồng Phú, Tỉnh Bình Phước"
"1553487465-2033","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Châu Thành","Đường 781, khu phố 3, thị trấn Châu Thành, huyện Châu Thành, tỉnh Tây Ninh"
"1553487465-2035","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Đồng Xoài","TTTM Đồng Xoài, Phú Riềng Đỏ, P. Tân Bình, TX. Đồng Xoài – Tỉnh Bình Phước"
"1553487465-2039","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Tân Thành","Quốc lộ 51, Tổ 12 Khu phố Tân Phú, Thị trấn Phú Mỹ, Huyện Tân Thành, Tỉnh Bà Rịa - Vũng Tàu"
"1553487465-2023","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Đông Nam Bộ (14 siêu thị)",""
"1553487465-2030","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Biên Hoà","121 Quốc lộ 15, P.Tân Tiến, Tp.Biên Hoà - Đồng Nai"
"1553487465-2031","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Bình Dương","Đường 30 tháng 4, phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Tỉnh Bình Dương"
"1553487465-2025","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Miền Trung (18 siêu thị)",""
"1553487465-2040","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Tây Ninh","576 Cách Mạng Tháng 8, Phường 3, Thành Phố Tây Ninh, Tỉnh Tây Ninh"
"1553487465-2036","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Gò Dầu","Quốc lộ 22B Khu phố Rạch Sơn, Thị trấn Gò Dầu, Huyện Gò Dầu, Tỉnh Tây Ninh (Bến xe Gò Dầu cũ)"
"1553487465-2024","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Miền Bắc (7 siêu thị)",""
"1553487465-2026","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Tây Nam Bộ (28 siêu thị)",""
"1553487465-2029","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Bà Rịa","Phường Phước Trung, TX. Bà Rịa, Tỉnh Bà Rịa – Vũng Tàu"
"1553487465-2041","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Trảng Bàng","Khu phố Lộc An, Thị trấn Trảng Bàng, Huyện Trảng Bàng, Tỉnh Tây Ninh"
