web-scraper-order,web-scraper-start-url,Name,Address
"1553487593-2118","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Xa Lộ Hà Nội","191 Quang Trung, P.Hiệp Phú, Q.9, TPHCM"
"1553487593-2122","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Đại siêu thị Co.opXtra Vạn Hạnh","Tầng B1 Trung tâm Thương mại Vạn Hạnh, Số 11 Sư Vạn Hạnh, Phường 12, Quận 10, TP.HCM"
"1553487593-2108","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Nguyễn Kiệm","571-573 Nguyễn Kiệm, P.9, Q.Phú Nhuận, TPHCM"
"1553487593-2084","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Miền Trung (18 siêu thị)",""
"1553487593-2087","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Thành phố Hồ Chí Minh (35 siêu thị)",""
"1553487593-2086","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Tây Nguyên (7 siêu thị)",""
"1553487593-2085","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Tây Nam Bộ (28 siêu thị)",""
"1553487593-2100","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Hòa Hảo","Số 0.01-0.02-0.03 Cao ốc B Ngô Gia Tự, Đường Hòa Hảo, Phường 3, Quận 10, TPHCM"
"1553487593-2120","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Đại siêu thị Co.opXtra Tân Phong","Tầng 2 & 3 - Trung tâm thương mại SC VivoCity, Số 1058 Đại Lộ Nguyễn Văn Linh, phường Tân Phong, Q.7"
"1553487593-2096","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Foodcosa","304A Quang Trung, Phường 11, Quận Gò Vấp"
"1553487593-2095","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Đồng Văn Cống","Số 125 Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Quận 2, TPHCM"
"1553487593-2091","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Chu Văn An","241A Chu Văn An, Phường 12, Quận Bình Thạnh, TP.HCM"
"1553487593-2104","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Lý Thường Kiệt","497 Hòa Hảo, P.7, Q.10, TPHCM"
"1553487593-2106","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Nguyễn Bình","Số 18, đường Nguyễn Bình, Xã Phú Xuân, huyện Nhà Bè, TPHCM"
"1553487593-2099","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Hòa Bình","175 Hòa Bình, Phường Hiệp Tân, Quận tân Phú, TP.HCM"
"1553487593-2114","http://www.co-opmart.com.vn/lienhe/hethongcoopmart.aspx","Co.opmart Thắng Lợi","02 Trường Chinh, P.Tây Thạnh, Q.Tân Phú, TPHCM"
