web-scraper-order,web-scraper-start-url,Category
"1550434567-285","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Dầu quả bơ organic Clearspring"
"1550434567-338","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Sốt tương ớt cà chua hữu cơ Salsa Jensens"
"1550434567-295","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Hạt Nêm Hữu Cơ Naturgreen 200g"
"1550434567-346","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Xốt Salad Caesar"
"1550434567-298","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Mắm ruốc Bà Duệ"
"1550434567-321","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Pate Chay Hạt Dẻ Tự Nhiên Granovita"
"1550434567-320","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Nước Tương Tamari Ít Muối Hữu Cơ Global Organic 250ml"
"1550434567-328","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Pho mát Mozzarella"
"1550434567-327","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Pho mát Cheddar Sandwich"
"1550434567-291","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Giấm Rượu Đỏ Hữu Cơ Global Organic"
"1550434567-310","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Nước Dùng Rau Củ Hữu Cơ Australia's Own Hộp 1 Lít"
"1550434567-280","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Dầu dừa nguyên chất Vietcoco - 500ml"
"1550434567-303","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Muối hồng Himalaya Naturgreen"
"1550434567-269","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Bơ Hữu Cơ Ghee"
"1550434567-309","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Nước Dùng Gà Hữu Cơ Australia's Own Hộp 1 Lít"
"1550434567-350","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Đường Phèn Nguyên Chất Anh Đăng 1Kg"
"1550434567-270","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Bơ Lạt President"
"1550434567-268","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Bắp ngọt hữu cơ đóng hộp Bio Idea 340g"
"1550434567-300","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Mật mía hữu cơ Markal 430g"
"1550434567-314","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Nước Sốt Salad Pháp Hữu Cơ Không Chứa Dầu, Gluten Ozganics"
"1550434567-283","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Dầu Oliu Pomace Silarus Chiên 1L"
"1550434567-334","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Sốt Ớt Chua Ngọt Hữu Cơ Naturata"
"1550434567-326","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Pho mát Cheddar Hamburger"
"1550434567-296","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Hoa Hồi Vipep 15g"
"1550434567-307","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Nước Cốt Dừa Hữu Cơ Merito"
"1550434567-342","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Tiêu Đen Hữu Cơ Farmer's Organic 50g"
"1550434567-319","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Nước Tương Tamari Hữu Cơ Naturgreen 250ml"
"1550434567-323","https://organicfood.vn/gia-vi-va-phu-lieu?limit=100","Pate chay nấm hỗn hợp"
