web-scraper-order,web-scraper-start-url,Category
"1550434805-446","https://organicfood.vn/thuy-hai-san?limit=100","Cá Thu Phú Quốc - 350g"
"1550434805-457","https://organicfood.vn/thuy-hai-san?limit=100","Tôm Sú Hữu Cơ Binca 250G"
"1550434805-455","https://organicfood.vn/thuy-hai-san?limit=100","Phi Lê Cá Ba Sa Hữu Cơ Binca 250G"
"1550434805-437","https://organicfood.vn/thuy-hai-san?limit=100","Cá Bẹ Lão Phú Quốc - 500g"
"1550434805-460","https://organicfood.vn/thuy-hai-san?limit=100","Tôm đất Cà Mau"
"1550434805-448","https://organicfood.vn/thuy-hai-san?limit=100","Chả mực Hạ Long tự nhiên - 500g"
"1550434805-449","https://organicfood.vn/thuy-hai-san?limit=100","Cua tách thịt - 200g"
"1550434805-459","https://organicfood.vn/thuy-hai-san?limit=100","Tôm Thẻ Hữu Cơ Binca 250G"
"1550434805-444","https://organicfood.vn/thuy-hai-san?limit=100","Cá Ngân Phú Quốc - 500g"
"1550434805-440","https://organicfood.vn/thuy-hai-san?limit=100","Cá Chẽm Tự Nhiên Cà Mau - 300g"
"1550434805-438","https://organicfood.vn/thuy-hai-san?limit=100","Cá bống mú Phú Quốc - 500g"
"1550434805-439","https://organicfood.vn/thuy-hai-san?limit=100","Cá Bớp Phú Quốc (Cắt lát) - 500g"
"1550434805-443","https://organicfood.vn/thuy-hai-san?limit=100","Cá Kẽm Phú Quốc - 1Kg"
"1550434805-450","https://organicfood.vn/thuy-hai-san?limit=100","Fillet Cá Hồi Nauy - 300g"
"1550434805-441","https://organicfood.vn/thuy-hai-san?limit=100","Cá Chim Phú Quốc - 500g"
"1550434805-458","https://organicfood.vn/thuy-hai-san?limit=100","Tôm thẻ Cà Mau - 300g"
"1550434805-452","https://organicfood.vn/thuy-hai-san?limit=100","Mực ống Phú Quốc - 500g"
"1550434805-442","https://organicfood.vn/thuy-hai-san?limit=100","Cá Dìa Bông Phú Quốc - 1Kg"
"1550434805-454","https://organicfood.vn/thuy-hai-san?limit=100","Nghêu Trắng Nguyên Con - 1Kg"
"1550434805-453","https://organicfood.vn/thuy-hai-san?limit=100","Mực trứng Phú Quốc - 500g"
"1550434805-445","https://organicfood.vn/thuy-hai-san?limit=100","Cá Róc hồng Phú Quốc - 500g"
"1550434805-451","https://organicfood.vn/thuy-hai-san?limit=100","Mực Lá Phú Quốc - 500g"
"1550434805-456","https://organicfood.vn/thuy-hai-san?limit=100","Tôm He - Phú Quốc - 500g"
"1550434805-436","https://organicfood.vn/thuy-hai-san?limit=100","Cá Ba Sa Cắt Khoanh Hữu Cơ Binca 250G"
"1550434805-447","https://organicfood.vn/thuy-hai-san?limit=100","Cá Đục Phú Quốc - 1Kg"
