web-scraper-order,web-scraper-start-url,Category
"1550434468-209","https://organicfood.vn/rau-cu-qua?limit=100","Hành lá  - 100g"
"1550434468-212","https://organicfood.vn/rau-cu-qua?limit=100","Hành Tím Nguyên Vỏ - 500g"
"1550434468-265","https://organicfood.vn/rau-cu-qua?limit=100","Đậu cove - 300g"
"1550434468-255","https://organicfood.vn/rau-cu-qua?limit=100","Su hào - 1kg"
"1550434468-235","https://organicfood.vn/rau-cu-qua?limit=100","Ớt Chuông Cam - 500g"
"1550434468-213","https://organicfood.vn/rau-cu-qua?limit=100","Hoa Chuối - 1Kg"
"1550434468-258","https://organicfood.vn/rau-cu-qua?limit=100","Xà lách búp Mỹ (Iceberg) - 500g"
"1550434468-240","https://organicfood.vn/rau-cu-qua?limit=100","Rau cải mầm  - 100gram"
"1550434468-243","https://organicfood.vn/rau-cu-qua?limit=100","Rau dền đỏ - 300g"
"1550434468-205","https://organicfood.vn/rau-cu-qua?limit=100","Dưa leo Baby  - 300g"
"1550434468-192","https://organicfood.vn/rau-cu-qua?limit=100","Cải Kale  - 500gram"
"1550434468-228","https://organicfood.vn/rau-cu-qua?limit=100","Nấm Ngọc Châm Nâu - hộp 250g"
"1550434468-210","https://organicfood.vn/rau-cu-qua?limit=100","Hành Poaro - 200g"
"1550434468-211","https://organicfood.vn/rau-cu-qua?limit=100","Hành tây - 500g"
"1550434468-215","https://organicfood.vn/rau-cu-qua?limit=100","Húng quế - 50g"
"1550434468-197","https://organicfood.vn/rau-cu-qua?limit=100","Cải thìa - 300g"
"1550434468-251","https://organicfood.vn/rau-cu-qua?limit=100","Rau thơm các loại - 100g"
"1550434468-250","https://organicfood.vn/rau-cu-qua?limit=100","Rau ngót Nhật - 250g"
"1550434468-208","https://organicfood.vn/rau-cu-qua?limit=100","Gừng Già - 300g"
"1550434468-257","https://organicfood.vn/rau-cu-qua?limit=100","Tỏi cô đơn Lý Sơn- 100g"
"1550434468-234","https://organicfood.vn/rau-cu-qua?limit=100","Ngò tây lá xoăn - 100g"
"1550434468-206","https://organicfood.vn/rau-cu-qua?limit=100","Dưa leo Nhật - 500g"
"1550434468-253","https://organicfood.vn/rau-cu-qua?limit=100","Rau đắng - 300g"
"1550434468-200","https://organicfood.vn/rau-cu-qua?limit=100","Cần Tây - 500gram"
"1550434468-237","https://organicfood.vn/rau-cu-qua?limit=100","Ớt chuông Xanh - 500g"
"1550434468-202","https://organicfood.vn/rau-cu-qua?limit=100","Củ cải trắng - 350g"
"1550434468-187","https://organicfood.vn/rau-cu-qua?limit=100","Cà Tím - 300g"
"1550434468-171","https://organicfood.vn/rau-cu-qua?limit=100","Bắp cải trắng hữu cơ - 1kg"
"1550434468-191","https://organicfood.vn/rau-cu-qua?limit=100","Cải Dún  - 300g"
"1550434468-179","https://organicfood.vn/rau-cu-qua?limit=100","Bông cải trắng - 500g"
"1550434468-223","https://organicfood.vn/rau-cu-qua?limit=100","Lá Xạ Hương - 100g"
"1550434468-173","https://organicfood.vn/rau-cu-qua?limit=100","Bí Ngòi Xanh - 300g"
"1550434468-244","https://organicfood.vn/rau-cu-qua?limit=100","Rau diếp cá - 50g"
"1550434468-248","https://organicfood.vn/rau-cu-qua?limit=100","Rau muống - 500g"
"1550434468-198","https://organicfood.vn/rau-cu-qua?limit=100","Cải xanh - 300g"
"1550434468-172","https://organicfood.vn/rau-cu-qua?limit=100","Bầu xanh - 500g"
"1550434468-185","https://organicfood.vn/rau-cu-qua?limit=100","Cà rốt  - 300g"
"1550434468-239","https://organicfood.vn/rau-cu-qua?limit=100","Ớt hiểm - 100g"
"1550434468-220","https://organicfood.vn/rau-cu-qua?limit=100","Khoai tây  - 500gram"
"1550434468-245","https://organicfood.vn/rau-cu-qua?limit=100","Rau Hẹ - 100g"
"1550434468-204","https://organicfood.vn/rau-cu-qua?limit=100","Củ Dền - 500g"
"1550434468-214","https://organicfood.vn/rau-cu-qua?limit=100","Húng lủi - 50g"
"1550434468-242","https://organicfood.vn/rau-cu-qua?limit=100","Rau dền baby - 500g"
"1550434468-225","https://organicfood.vn/rau-cu-qua?limit=100","Mồng tơi -  300g"
"1550434468-196","https://organicfood.vn/rau-cu-qua?limit=100","Cải Thảo  - 500g"
"1550434468-226","https://organicfood.vn/rau-cu-qua?limit=100","Mướp hương  - 500g"
"1550434468-175","https://organicfood.vn/rau-cu-qua?limit=100","Bí Non - 500g"
"1550434468-176","https://organicfood.vn/rau-cu-qua?limit=100","Bí đao  - 500g"
"1550434468-266","https://organicfood.vn/rau-cu-qua?limit=100","Đậu Hà Lan tươi  - 300g"
"1550434468-174","https://organicfood.vn/rau-cu-qua?limit=100","Bí Nhật - 500g"
"1550434468-188","https://organicfood.vn/rau-cu-qua?limit=100","Cải bẹ trắng - 300g"
"1550434468-222","https://organicfood.vn/rau-cu-qua?limit=100","Lá Hương Thảo - 100g"
"1550434468-249","https://organicfood.vn/rau-cu-qua?limit=100","Rau muống baby - 500g"
"1550434468-246","https://organicfood.vn/rau-cu-qua?limit=100","Rau kinh giới - 50g"
"1550434468-207","https://organicfood.vn/rau-cu-qua?limit=100","Giá đỗ hữu cơ - 250g"
"1550434468-267","https://organicfood.vn/rau-cu-qua?limit=100","Đậu đũa 300g"
"1550434468-218","https://organicfood.vn/rau-cu-qua?limit=100","Khoai lang Nhật - 500g"
"1550434468-260","https://organicfood.vn/rau-cu-qua?limit=100","Xà lách Lô Lô xanh - 250g"
"1550434468-236","https://organicfood.vn/rau-cu-qua?limit=100","Ớt chuông vàng - 500g"
"1550434468-233","https://organicfood.vn/rau-cu-qua?limit=100","Ngò rí - 100g"
"1550434468-230","https://organicfood.vn/rau-cu-qua?limit=100","Nấm Ngọc Thạch - hộp 250g"
"1550434468-170","https://organicfood.vn/rau-cu-qua?limit=100","Bắp cải tím - 500gram"
"1550434468-259","https://organicfood.vn/rau-cu-qua?limit=100","Xà Lách Hỗn Hợp Italian Hữu Cơ Hộp 100 gram"
"1550434468-201","https://organicfood.vn/rau-cu-qua?limit=100","Chanh không hạt - 300g"
"1550434468-178","https://organicfood.vn/rau-cu-qua?limit=100","Bông Atiso tươi - 1kg"
"1550434468-231","https://organicfood.vn/rau-cu-qua?limit=100","Nấm Đùi Gà - hộp 250g"
"1550434468-199","https://organicfood.vn/rau-cu-qua?limit=100","Cải đuôi phụng - 300g"
"1550434468-256","https://organicfood.vn/rau-cu-qua?limit=100","Tần ô  - 400g"
"1550434468-264","https://organicfood.vn/rau-cu-qua?limit=100","Đậu Bắp - 300g"
"1550434468-216","https://organicfood.vn/rau-cu-qua?limit=100","Khổ qua - 500g"
"1550434468-177","https://organicfood.vn/rau-cu-qua?limit=100","Bí Đỏ Mỹ (bí Hồ Lô) -500g"
"1550434468-229","https://organicfood.vn/rau-cu-qua?limit=100","Nấm Ngọc Châm Trắng - hộp 250g"
"1550434468-254","https://organicfood.vn/rau-cu-qua?limit=100","Sả cây - 300g"
"1550434468-227","https://organicfood.vn/rau-cu-qua?limit=100","Nấm mỡ trắng - hộp 250g"
"1550434468-193","https://organicfood.vn/rau-cu-qua?limit=100","Cải Ngồng - 300g"
"1550434468-252","https://organicfood.vn/rau-cu-qua?limit=100","Rau tía tô - 50g"
"1550434468-238","https://organicfood.vn/rau-cu-qua?limit=100","Ớt chuông đỏ - 500g"
"1550434468-247","https://organicfood.vn/rau-cu-qua?limit=100","Rau lang  - 300g"
"1550434468-186","https://organicfood.vn/rau-cu-qua?limit=100","Cà Rốt baby - 400g"
"1550434468-181","https://organicfood.vn/rau-cu-qua?limit=100","Cà Chua  - 500g"
"1550434468-261","https://organicfood.vn/rau-cu-qua?limit=100","Xà lách lô lô đỏ - 250g"
"1550434468-203","https://organicfood.vn/rau-cu-qua?limit=100","Củ Cải Đỏ  - 350g"
"1550434468-190","https://organicfood.vn/rau-cu-qua?limit=100","Cải bó xôi  - 300g"
"1550434468-219","https://organicfood.vn/rau-cu-qua?limit=100","Khoai mỡ - 500g"
"1550434468-194","https://organicfood.vn/rau-cu-qua?limit=100","Cải Ngọt  - 300g"
"1550434468-263","https://organicfood.vn/rau-cu-qua?limit=100","Xà lách xoong - trên cạn - 1kg"
"1550434468-224","https://organicfood.vn/rau-cu-qua?limit=100","Măng Tây  - 500gram"
"1550434468-217","https://organicfood.vn/rau-cu-qua?limit=100","Khoai lang Mật - 500g"
"1550434468-262","https://organicfood.vn/rau-cu-qua?limit=100","Xà lách Romaine - 350Gram"
"1550434468-189","https://organicfood.vn/rau-cu-qua?limit=100","Cải Bẹ Xanh - 300g"
"1550434468-241","https://organicfood.vn/rau-cu-qua?limit=100","Rau dền - 300g"
"1550434468-184","https://organicfood.vn/rau-cu-qua?limit=100","Cà Chua Beef - 300g"
"1550434468-169","https://organicfood.vn/rau-cu-qua?limit=100","Bắp cải tim - 500g"
"1550434468-195","https://organicfood.vn/rau-cu-qua?limit=100","Cải ngọt Nhật - 300g"
"1550434468-182","https://organicfood.vn/rau-cu-qua?limit=100","Cà Chua bee ngọt - 300g"
"1550434468-180","https://organicfood.vn/rau-cu-qua?limit=100","Bông cải xanh  - 400g"
"1550434468-221","https://organicfood.vn/rau-cu-qua?limit=100","Lá Bạc Hà - 100g"
"1550434468-232","https://organicfood.vn/rau-cu-qua?limit=100","Ngò gai - 50g"
"1550434468-183","https://organicfood.vn/rau-cu-qua?limit=100","Cà Chua Bee Socola - 300g"
