web-scraper-order,web-scraper-start-url,Category
"1550434736-394","https://organicfood.vn/trai-cay?limit=100","Cherry New Zealand 500g"
"1550434736-406","https://organicfood.vn/trai-cay?limit=100","Dừa Tươi"
"1550434736-385","https://organicfood.vn/trai-cay?limit=100","Bơ Hữu Cơ - 1Kg"
"1550434736-395","https://organicfood.vn/trai-cay?limit=100","Cherry Úc 500g"
"1550434736-393","https://organicfood.vn/trai-cay?limit=100","Chanh dây - 1kg"
"1550434736-403","https://organicfood.vn/trai-cay?limit=100","Dâu Úc Sunny Ridge - hộp 250g"
"1550434736-405","https://organicfood.vn/trai-cay?limit=100","Dưa lưới giống Nhật - 1kg"
"1550434736-400","https://organicfood.vn/trai-cay?limit=100","Chuối sứ - 1kg"
"1550434736-424","https://organicfood.vn/trai-cay?limit=100","Táo hữu cơ (Mỹ) - 1kg"
"1550434736-429","https://organicfood.vn/trai-cay?limit=100","Táo đỏ sấy khô Hàn Quốc - 200g"
"1550434736-434","https://organicfood.vn/trai-cay?limit=100","Xoài Cát Chu"
"1550434736-421","https://organicfood.vn/trai-cay?limit=100","Ổi nữ hoàng - 1Kg"
"1550434736-401","https://organicfood.vn/trai-cay?limit=100","Dâu giống New Zealand - 250gram"
"1550434736-392","https://organicfood.vn/trai-cay?limit=100","Chà là khô Mỹ Natural Delights 454g"
"1550434736-413","https://organicfood.vn/trai-cay?limit=100","Mận Đỏ An Phước"
"1550434736-390","https://organicfood.vn/trai-cay?limit=100","Chà Là Khô Hữu Cơ Natural Delights 340g"
"1550434736-425","https://organicfood.vn/trai-cay?limit=100","Táo hữu cơ Pháp - 1kg"
"1550434736-430","https://organicfood.vn/trai-cay?limit=100","Thanh Long"
"1550434736-398","https://organicfood.vn/trai-cay?limit=100","Chuối già hương - 1kg"
"1550434736-418","https://organicfood.vn/trai-cay?limit=100","Nho Khô Hữu Cơ Úc 200g"
"1550434736-422","https://organicfood.vn/trai-cay?limit=100","Quýt Hữu Cơ Eva 1Kg"
"1550434736-402","https://organicfood.vn/trai-cay?limit=100","Dâu Hàn Quốc - 500g"
"1550434736-389","https://organicfood.vn/trai-cay?limit=100","Cam Xoàn - 1Kg"
"1550434736-431","https://organicfood.vn/trai-cay?limit=100","Thơm Hữu Cơ"
"1550434736-387","https://organicfood.vn/trai-cay?limit=100","Cam Sành Hữu Cơ - 1Kg"
"1550434736-416","https://organicfood.vn/trai-cay?limit=100","Mít nghệ - 1kg"
"1550434736-423","https://organicfood.vn/trai-cay?limit=100","Táo Envy Mỹ - 500g"
"1550434736-407","https://organicfood.vn/trai-cay?limit=100","Hồng xiêm (Sapoche) - 1Kg"
"1550434736-433","https://organicfood.vn/trai-cay?limit=100","Vú Sữa"
"1550434736-410","https://organicfood.vn/trai-cay?limit=100","Lê Hàn Quốc - 1kg"
"1550434736-419","https://organicfood.vn/trai-cay?limit=100","Nho xanh không hạt Mỹ"
"1550434736-386","https://organicfood.vn/trai-cay?limit=100","Bưởi da xanh loại 1 -  1kg"
"1550434736-399","https://organicfood.vn/trai-cay?limit=100","CHUỐI LABA - 1kg"
"1550434736-414","https://organicfood.vn/trai-cay?limit=100","Mãng Cầu Xiêm"
"1550434736-411","https://organicfood.vn/trai-cay?limit=100","Lựu Đỏ 1Kg"
"1550434736-397","https://organicfood.vn/trai-cay?limit=100","Chôm Chôm - 1Kg"
"1550434736-404","https://organicfood.vn/trai-cay?limit=100","Dưa Hấu"
"1550434736-388","https://organicfood.vn/trai-cay?limit=100","Cam Vàng Hữu Cơ Úc - 1kg"
"1550434736-391","https://organicfood.vn/trai-cay?limit=100","Chà là khô Mỹ Natural Delights 340g"
"1550434736-426","https://organicfood.vn/trai-cay?limit=100","Táo hữu cơ ruột đỏ Mỹ 600g"
"1550434736-396","https://organicfood.vn/trai-cay?limit=100","Cherry Đỏ Mỹ - 500Gram"
"1550434736-432","https://organicfood.vn/trai-cay?limit=100","Việt Quất - 170g"
"1550434736-427","https://organicfood.vn/trai-cay?limit=100","Táo xanh hữu cơ Mỹ"
"1550434736-428","https://organicfood.vn/trai-cay?limit=100","Táo đỏ khô thái lát Hàn Quốc - 40g"
"1550434736-435","https://organicfood.vn/trai-cay?limit=100","Đu Đủ  - 1kg"
"1550434736-412","https://organicfood.vn/trai-cay?limit=100","Mận khô hữu cơ Taylor (Mỹ) - 250g"
"1550434736-409","https://organicfood.vn/trai-cay?limit=100","Kiwi Xanh - 1kg"
"1550434736-415","https://organicfood.vn/trai-cay?limit=100","Măng cụt - 1Kg"
"1550434736-408","https://organicfood.vn/trai-cay?limit=100","Kiwi Vàng - 500gram"
"1550434736-420","https://organicfood.vn/trai-cay?limit=100","Nho đen Úc hàng Air - 1kg"
"1550434736-417","https://organicfood.vn/trai-cay?limit=100","Mứt Táo - Hộp 500g"
