web-scraper-order,web-scraper-start-url,Name,Image
"1553486779-1800","http://www.vinmartplus.vn/danh-muc-san-pham-2","Nộm hoa chuối thịt bò VinMart Cook","http://cdn02.static-adayroi.com/resize/250_250/100/0/2017/04/22/1492847131946_2706458.jpg"
"1553486779-1831","http://www.vinmartplus.vn/danh-muc-san-pham-2","Mỳ ý sốt hải sản VinMart Cook","http://cdn02.static-adayroi.com/resize/250_250/100/0/2017/04/22/1492846647941_6153113.jpg"
"1553486779-1796","http://www.vinmartplus.vn/danh-muc-san-pham-2","Chè bưởi VinMart Cook","http://cdn02.static-adayroi.com/resize/250_250/100/0/2017/04/22/1492845405098_2911987.jpg"
"1553486779-1815","http://www.vinmartplus.vn/danh-muc-san-pham-2","Gà luộc VinMart Cook","http://cdn02.static-adayroi.com/resize/250_250/100/0/2017/04/22/1492844881039_9901498.jpg"
"1553486779-1808","http://www.vinmartplus.vn/danh-muc-san-pham-2","Sườn sốt chua ngọt VinMart Cook","http://cdn02.static-adayroi.com/resize/250_250/100/0/2017/04/22/1492843823149_9783538.jpg"
"1553486779-1810","http://www.vinmartplus.vn/danh-muc-san-pham-2","Giò heo giả cầy VinMart Cook","http://cdn02.static-adayroi.com/resize/250_250/100/0/2017/04/22/1492843697418_1099747.jpg"
"1553486779-1811","http://www.vinmartplus.vn/danh-muc-san-pham-2","Gà rang gừng VinMart Cook","http://cdn02.static-adayroi.com/resize/250_250/100/0/2017/04/22/1492843646857_8485448.jpg"
"1553486779-1790","http://www.vinmartplus.vn/danh-muc-san-pham-2","Thạch rau câu 3 mầu VinMart Cook","http://cdn02.static-adayroi.com/resize/250_250/100/0/2017/04/22/1492846803913_7688106.jpg"
"1553486779-1830","http://www.vinmartplus.vn/danh-muc-san-pham-2","Ốc om chuối đậu VinMart Cook","http://cdn02.static-adayroi.com/resize/250_250/100/0/2017/04/22/1492846696032_9966990.jpg"
"1553486779-1834","http://www.vinmartplus.vn/danh-muc-san-pham-2","Cơm gà rang gừng VinMart Cook","http://cdn02.static-adayroi.com/resize/250_250/100/0/2017/04/22/1492846265819_7721116.jpg"
