web-scraper-order,web-scraper-start-url,Name,Address
"1553474434-887","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 25I Ngõ 358 Bùi Xương Trạch","25I Ngõ 358 Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân, Hà Nội"
"1553474434-290","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 300 Lê Đại Hành (KDC Nam Sân Bay)","300 Lê Đại Hành, phường Hòa Phát, quận Cẩm Lệ, thành phố Đà Nẵng"
"1553474434-54","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ BNH 402-404 Nguyễn Trãi","402-404 Nguyễn Trãi , phường Võ Cường, thành phố Bắc Ninh, tỉnh Bắc Ninh"
"1553474434-33","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ QNH số 9 LK1 khu Bao Biển","Ô 9 lô LK1 KDC LK1, LK2 phường Hồng Hà, TP.Hạ Long, Quảng Ninh."
"1553474434-889","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 29/32/564 Nguyễn Văn Cừ","Số 29 ngách 32 ngõ 564 Nguyễn Văn Cừ, phường Gia Thụy, quận Long Biên, Hà Nội"
"1553474434-536","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Golden River A2. SH01","Tầng 1, khối nhà HH6-2, Khu Trung Tâm Phức Hợp Sài Gòn – Ba Son, Số 02 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh"
"1553474434-364","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI 19 tổ 22 TT Đông Anh","Số 19, Tổ 22, thị trấn Đông Anh, Huyện Đông Anh,Thành Phố Hà Nội, Việt Nam"
"1553474434-232","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Nền 1-2 Khu A lô 1992","Số 8 Đồng Khởi, Tổ 32, KP 3, Phường Trảng Dài, thành phố Biên Hoà, tỉnh Đồng Nai"
"1553474434-739","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HCM 31 Trương Phước Phan","A.004 Tầng 1, Chung cư Hoàng Kim Thế Gia, 31 Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp.Hồ Chí Minh"
"1553474434-109","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ BNH 73 Phố Vũ","Số 73 Phố Vũ, phường Đại Phúc, TP Bắc Ninh, tỉnh Bắc Ninh"
"1553474434-811","http://www.vinmartplus.vn/he-thong-cua-hang","Vinmart+ Green Park","SA1-07, Block A1, tầng thương mại, CC GREEN PARK, Phường Bình Hưng Hòa B, Q. Bình Tân, TP. HCM"
"1553474434-237","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Thửa 860, Tổ 9, Khu Phố 4","Ngã 3 chợ thanh hoá , Tổ 9, KP 4, Phường Trảng Dài, thành phố Biên Hoà, tỉnh Đồng Nai"
"1553474434-902","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 16/1 Phạm Văn Đồng","Số 16 ngõ 1 Phạm Văn Đồng, phường Mai Dịch, quận Cầu Giấy, Hà Nội"
"1553474434-488","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 36 Trần Quý Hai","36 Trần Quý Hai, phường Hòa Thọ Đông, Quận Cẩm Lệ, Thành Phố Đà Nẵng"
"1553474434-906","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 612A Lạc Long Quân","Số 612A Lạc Long Quân, tổ 10 cụm 2, phường Nhật Tân, quận Tây Hồ, Hà Nội"
"1553474434-318","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 102 Khu phố 2","102 Khu phố 2, đường số 29,  phường Bình Trị Đông quận Bình Tân, thành phố Hồ Chí Minh"
"1553474434-604","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Khu dân cư An Bình","20A12 - 21A12 Khu dân cư An Bình,  Phường An Bình, Thành Phố Biên Hòa, Đống Nai"
"1553474434-802","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 616-618 Lê Thanh Nghị","số 616-618 Lê Thanh Nghị, phường Lê Thanh Nghị, Tp.Hải Dương, tỉnh Hải Dương"
"1553474434-527","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 103 Nguyễn Huy Tưởng","103 Nguyễn Huy Tưởng, Phường Hòa Minh, Quận Liên Chiểu, Thành Phố Đà Nẵng"
"1553474434-361","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI 443 Đội Cấn","443 Đội Cấn, phường Vĩnh Phúc, quận Ba Đình, Thành phố Hà Nội"
"1553474434-301","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Thửa 12 Yên Hoà","167/4 Khu Vực Yên Hòa, Phường Lê Bình, Quận Cái Răng, Thành Phố Cần Thơ"
"1553474434-494","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 44/1 Tổ 1, Khu phố 5A","44/1 Tổ 1, KP 5A, Phường Trảng Dài, Thành Phố Biên Hòa,Tỉnh Đồng Nai"
"1553474434-946","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 121-123 Tô Hiệu","Tòa nhà HUD3 Tower, số 121-123 đường Tô Hiệu, phường Nguyễn Trãi, quận Hà Đông, Hà Nội"
"1553474434-87","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HDG 284 Nguyễn Lương Bằng","284 Nguyễn Lương Bằng, phường Thanh Bình, thành phố Hải Dương, Tỉnh Hải Dương"
"1553474434-791","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ HNI NV36 KĐT Mới Trung Văn","NV36, Khu đô thị mới Trung Văn, phường Trung Văn, quận Nam Từ Liêm, Hà Nội."
"1553474434-252","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 695 Nguyễn Thị Minh Khai","695 Nguyễn Thị Minh Khai, KP Tân Phú 1, phường Tân Bình, thị xã Dĩ An, tỉnh Bình Dương"
"1553474434-956","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 3 ngõ 55 Đỗ Quang","Số 3 ngõ 55 Đỗ Quang, phường Trung Hòa, quận Cầu Giấy, Hà Nội"
